url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool,type,postal_code,city,Region,province,price_per_sqm,Price_per_sqm_land
https://immovlan.be/en/detail/residence/for-sale/2140/antwerp/rbu65225,rbu65225,424000.0,,On contract,3.0,132.0,,,1.0,1.0,,,1.0,,,Gas,,0.0,2.0,1.0,,0.0,,207.0,,residence,2140,antwerp,Flanders,Antwerp,3212.121212121212,2048.309178743961
https://immovlan.be/en/detail/residence/for-sale/3520/zonhoven/rbt86810,rbt86810,432948.0,New,,3.0,260.0,0.0,,1.0,1.0,,,1.0,,,Electricity,,0.0,2.0,0.0,,0.0,,367.0,,residence,3520,zonhoven,Flanders,Limburg,1665.1846153846154,1179.6948228882834
https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbb01677,vbb01677,399000.0,New,,2.0,117.0,,,1.0,,,Independent,1.0,,1.0,Gas,Double glass,1.0,,,,1.0,8.0,,,apartment,4000,liege,Wallonia,Liege,3410.25641025641,
https://immovlan.be/en/detail/apartment/for-sale/8620/nieuwpoort/rbu65118,rbu65118,425000.0,,,2.0,81.0,,,,,,,1.0,,2.0,Gas,Double glass,1.0,,0.0,,1.0,,,,apartment,8620,nieuwpoort,Flanders,West Flanders,5246.913580246914,
https://immovlan.be/en/detail/loft/for-sale/8400/oostende/rbl21369,rbl21369,649000.0,New,,2.0,177.0,,0.0,,,,,2.0,,2.0,,Double glass,1.0,2.0,0.0,,1.0,12.0,,0.0,loft,8400,oostende,Flanders,West Flanders,3666.6666666666665,
https://immovlan.be/en/detail/residence/for-sale/5530/yvoir/vbd46643,vbd46643,595000.0,Excellent,On contract,4.0,220.0,0.0,,,,Fully equipped,Western kitchen,2.0,2.0,1.0,Fuel oil,Double glass,0.0,4.0,1.0,3300.0,1.0,,3560.0,1.0,residence,5530,yvoir,Wallonia,Namur,2704.5454545454545,167.13483146067415
https://immovlan.be/en/detail/apartment/for-sale/9050/ledeberg/rbu64643,rbu64643,280000.0,Normal,,2.0,100.0,,,,,,,,,1.0,Gas,Double glass,1.0,2.0,1.0,,1.0,24.0,,,apartment,9050,ledeberg,Flanders,East Flanders,2800.0,
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd48025,vbd48025,860000.0,New,,3.0,130.0,0.0,,1.0,1.0,Super equipped,,2.0,1.0,2.0,Hot air,Double glass,1.0,2.0,1.0,,1.0,19.0,,0.0,apartment,1200,sint-lambrechts-woluwe,Brussels,Brussels,6615.384615384615,
https://immovlan.be/en/detail/garage/for-sale/1083/ganshoren/vwd15536,vwd15536,27500.0,,,,,,,,,,,,,,,,,,,,,,,,garage,1083,ganshoren,Brussels,Brussels,,
https://immovlan.be/en/detail/investment-property/for-sale/2300/turnhout/rbu60920,rbu60920,935000.0,Normal,Immediately,11.0,,,,1.0,6.0,,,6.0,,6.0,Gas,,0.0,2.0,,,1.0,,,,investment-property,2300,turnhout,Flanders,Antwerp,,
https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbu51436,rbu51436,223000.0,New,Immediately,1.0,65.0,0.0,,1.0,,,,1.0,,1.0,,,1.0,2.0,0.0,,1.0,16.0,,,apartment,2440,geel,Flanders,Antwerp,3430.769230769231,
https://immovlan.be/en/detail/penthouse/for-sale/8500/kortrijk/rwc41100,rwc41100,309500.0,Excellent,,2.0,90.0,,,,,,,,,,Not specified,,,,,,1.0,,,,penthouse,8500,kortrijk,Flanders,West Flanders,3438.8888888888887,
https://immovlan.be/en/detail/residence/for-sale/5100/jambes/vbd39688,vbd39688,495000.0,Normal,,4.0,208.0,0.0,,1.0,1.0,,,1.0,2.0,2.0,Gas,,0.0,4.0,1.0,994.0,1.0,30.0,994.0,,residence,5100,jambes,Wallonia,Namur,2379.8076923076924,497.98792756539234
https://immovlan.be/en/detail/apartment/for-sale/1348/louvain-la-neuve/vbd28595,vbd28595,680000.0,New,,3.0,135.0,0.0,,,,,,2.0,,2.0,Gas,Double glass,1.0,,0.0,,1.0,68.0,,,apartment,1348,louvain-la-neuve,Wallonia,Walloon Brabant,5037.037037037037,
https://immovlan.be/en/detail/ground-floor/for-sale/3740/beverst/rbt20145,rbt20145,,New,,2.0,96.0,0.0,,1.0,,,,1.0,,1.0,Not specified,,1.0,,0.0,,1.0,34.0,,,ground-floor,3740,beverst,Flanders,Limburg,,
https://immovlan.be/en/detail/residence/for-sale/6044/roux/vbd39703,vbd39703,139000.0,Normal,,3.0,195.0,0.0,1.0,,,,,1.0,,1.0,Gas,,0.0,2.0,1.0,,1.0,,500.0,,residence,6044,roux,Wallonia,Hainaut,712.8205128205128,278.0
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd48144,vbd48144,515000.0,New,,1.0,80.0,0.0,,1.0,1.0,Super equipped,,1.0,,1.0,Hot air,Double glass,1.0,4.0,0.0,,1.0,14.0,,0.0,apartment,1200,sint-lambrechts-woluwe,Brussels,Brussels,6437.5,
https://immovlan.be/en/detail/residence/for-sale/3840/rijkel/rbs14523,rbs14523,247500.0,New,,1.0,89.0,0.0,,,,,,1.0,,,Electricity,,0.0,,1.0,,1.0,20.0,,,residence,3840,rijkel,Flanders,Limburg,2780.8988764044943,
https://immovlan.be/en/detail/residence/for-sale/9200/dendermonde/rbu62100,rbu62100,675000.0,To be renovated,,6.0,599.0,,1.0,1.0,1.0,,,3.0,,,Gas,Simple glass,0.0,,0.0,,0.0,,355.0,,residence,9200,dendermonde,Flanders,East Flanders,1126.8781302170285,1901.4084507042253
https://immovlan.be/en/detail/apartment/for-sale/8700/tielt/rbu66921,rbu66921,255062.0,,,2.0,82.0,,,1.0,,,,,,,,,1.0,,0.0,,1.0,,,,apartment,8700,tielt,Flanders,West Flanders,3110.512195121951,
https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbu51387,rbu51387,293800.0,New,Immediately,2.0,92.0,0.0,,1.0,,,,1.0,,1.0,,,1.0,2.0,0.0,,1.0,10.0,,,apartment,2440,geel,Flanders,Antwerp,3193.478260869565,
https://immovlan.be/en/detail/residence/for-sale/3570/alken/rbu55734,rbu55734,435000.0,,,3.0,235.0,,,1.0,1.0,,,1.0,,,Fuel oil,Double glass,,4.0,1.0,,1.0,26.0,1102.0,,residence,3570,alken,Flanders,Limburg,1851.063829787234,394.7368421052632
https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbd26845,vbd26845,325000.0,,Immediately,3.0,190.0,0.0,,,,,,1.0,,1.0,Gas,,0.0,3.0,0.0,,1.0,8.0,150.0,,residence,1300,wavre,Wallonia,Walloon Brabant,1710.5263157894738,2166.6666666666665
https://immovlan.be/en/detail/residence/for-sale/1460/ittre/vbd49095,vbd49095,406635.0,New,,3.0,165.0,0.0,1.0,1.0,,Super equipped,,1.0,,2.0,Hot air,,0.0,3.0,1.0,,1.0,,378.0,0.0,residence,1460,ittre,Wallonia,Walloon Brabant,2464.4545454545455,1075.7539682539682
https://immovlan.be/en/detail/land/for-sale/1490/court-saint-etienne/vbd44103,vbd44103,255000.0,,On contract,,,,,,,,,,,,,,,,,,,,1750.0,,land,1490,court-saint-etienne,Wallonia,Walloon Brabant,,145.71428571428572
