Property ID,Price,State of the property,Number of bedrooms,Livable surface,Garage,Number of garages,Type of heating,Type of glazing,Elevator,Garden,Terrace,Surface terrace,Total land surface,Swimming pool,type,postal_code,city,Region,province,main_type,price_per_sqm,Price_per_sqm_land
vbc82657,320000.0,New,4.0,103.0,1.0,1.0,Gas,Double glass,0.0,1.0,1.0,16.0,691.0,0.0,residence,4500,huy,Wallonia,Namur,house,3106.7961165048546,463.0969609261939
rbu64320,290000.0,,,,,,,,,,,,1706.0,,development-site,2980,zoersel,Flanders,Antwerp,land,,169.98827667057444
vbd39390,165000.0,To renovate,3.0,120.0,1.0,2.0,,,0.0,0.0,0.0,,,0.0,residence,4870,trooz,Wallonia,Namur,house,1375.0,
rbu64331,209000.0,,2.0,110.0,1.0,1.0,Not specified,Double glass,0.0,1.0,0.0,,,,apartment,3680,maaseik,Flanders,Limburg,apartment,1900.0,
vbc20796,236000.0,New,2.0,82.0,1.0,,,,,0.0,0.0,,,,apartment,6769,meix-devant-virton,Wallonia,Luxembourg,apartment,2878.048780487805,
vbd43607,795000.0,New,4.0,215.0,,,,,,1.0,1.0,28.0,,,residence,1180,ukkel,Brussels,Brussels,house,3697.6744186046512,
vbc20072,99000.0,,,,,,,,,,,,2338.0,,development-site,5353,goesnes,Wallonia,Namur,land,,42.34388366124893
rbu63295,415000.0,Excellent,4.0,168.0,1.0,,Gas,,0.0,1.0,1.0,,117.0,,residence,9100,sint-niklaas,Flanders,East Flanders,house,2470.2380952380954,3547.008547008547
vbd42010,,,2.0,93.0,,,,,,,1.0,,,,apartment,5000,namur,Wallonia,Namur,apartment,,
rbu52290,298000.0,,5.0,249.0,1.0,1.0,,,,1.0,1.0,,181.0,,residence,8370,blankenberge,Flanders,West Flanders,house,1196.7871485943774,1646.4088397790056
rbu62746,5000.0,New,4.0,174.0,1.0,,Not specified,,0.0,1.0,1.0,13.0,,,residence,2322,minderhout,Flanders,Antwerp,house,28.735632183908045,
vbd49354,275000.0,Normal,3.0,146.0,1.0,1.0,Fuel oil,Double glass,,1.0,1.0,,1056.0,,residence,4690,glons,Wallonia,Namur,house,1883.5616438356165,260.4166666666667
vba12412,370000.0,New,2.0,96.0,1.0,,,,0.0,0.0,1.0,13.0,,,apartment,6940,durbuy,Wallonia,Luxembourg,apartment,3854.1666666666665,
rbu59605,640000.0,To renovate,,,,,,,,,,,6392.0,,garage,9620,zottegem,Flanders,East Flanders,business,,100.12515644555694
vbd01909,263800.0,New,2.0,86.0,,,Gas,,1.0,0.0,1.0,38.0,,,apartment,6230,pont-a-celles,Wallonia,Hainaut,apartment,3067.4418604651164,
rbu66349,494500.0,New,3.0,120.0,1.0,1.0,Hot air,Double glass,1.0,0.0,1.0,21.0,,0.0,apartment,9700,oudenaarde,Flanders,East Flanders,apartment,4120.833333333333,
vbd47511,495000.0,Fully renovated,2.0,140.0,1.0,,Gas,Double glass,1.0,0.0,1.0,4.0,,,apartment,1180,ukkel,Brussels,Brussels,apartment,3535.714285714286,
